a a l e n d	VERB type=participle tense=present
a b a l i e n i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a b a l i e n i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a b a l i e n i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a b a l i e n i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a b a e n d e r u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b a e n d e r u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b a n d o n n i e r e n d	VERB type=participle tense=present
a b a n d o n n i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a b a n d o n n i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a b a n d o n n i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a b a n d o n n i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a b a n d o n n i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a b a n d o n n i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a b a n d o n n i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a b a n d o n n i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a b a n d o n n i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a b a n d o n n i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a b a r t e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b a r t	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b b a u e n	NOUN case=dative number=plural
a b b a u e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b b a u e s	NOUN case=genitive number=singular
a b b a u	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b d a n k u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b d a n k u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b d e c k p l a t t e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b d e c k p l a t t e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b d u k t o r e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b d u k t o r	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b e i l l e k o l i b r i	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b e i l l e k o l i b r i s	NOUN case=nominative number=plural ; NOUN case=genitive number=singular ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b e n d e n	NOUN case=dative number=plural
a b e n d e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b e n d k a s s e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b e n d k a s s e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b e n d	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b e n d s	NOUN case=genitive number=singular
a b e n d s t e r n e n	NOUN case=dative number=plural
a b e n d s t e r n e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b e n d s t e r n e s	NOUN case=genitive number=singular
a b e n d s t e r n	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b e n t e u e r i n n e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b e n t e u e r i n	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b e n t e u e r l i c h k e i t e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b e n t e u e r l i c h k e i t	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b e n t e u e r n	NOUN case=dative number=plural
a b e n t e u e r	NOUN case=nominative number=singular ; NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a b e n t e u e r s	NOUN case=genitive number=singular
a b e n t e u r e r i n n e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b e n t e u r e r i n	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b e r g l a u b e n	NOUN case=nominative number=plural ; NOUN case=genitive number=singular ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=dative number=plural ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a b e r g l a u b e	NOUN case=nominative number=singular
a b f a l l e i m e r n	NOUN case=dative number=plural
a b f a l l e i m e r	NOUN case=nominative number=singular ; NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a b f a l l e i m e r s	NOUN case=genitive number=singular
a b f a l l p r o d u k t e n	NOUN case=dative number=plural
a b f a l l p r o d u k t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b f a l l p r o d u k t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b f a l l p r o d u k t s	NOUN case=genitive number=singular
a b f e r t i g u n g s g e b a e u d e n	NOUN case=dative number=plural
a b f e r t i g u n g s g e b a e u d e	NOUN case=nominative number=singular ; NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a b f e r t i g u n g s g e b a e u d e s	NOUN case=genitive number=singular
a b f l u e g e n	NOUN case=dative number=plural
a b f l u e g e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b f l u g e s	NOUN case=genitive number=singular
a b f l u g	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b f r a g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b f r a g e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b g a b e l e i s t u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b g a b e l e i s t u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b g a b e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b g a b e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b g a e n g e n	NOUN case=dative number=plural
a b g a e n g e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b g a n g e s	NOUN case=genitive number=singular
a b g a n g	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b g e s e h e n	VERB type=participle tense=past
a b k u e r z u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b k u e r z u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b l e g e r n	NOUN case=dative number=plural
a b l e g e r	NOUN case=nominative number=singular ; NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a b l e g e r s	NOUN case=genitive number=singular
a b l e h n u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b l e h n u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b o n n i e r e n d	VERB type=participle tense=present
a b o n n i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a b o n n i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a b o n n i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a b o n n i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a b o n n i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a b o n n i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a b o n n i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a b o n n i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a b o n n i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a b o n n i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a b r e d e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b r e d e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b r i e b e n	NOUN case=dative number=plural
a b r i e b e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b r i e b e s	NOUN case=genitive number=singular
a b r i e b	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b s a h e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative
a b s a e h e n	VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a b s a e h e s t	VERB person=2nd number=singular tense=past mood=subjunctive
a b s a e h e t	VERB person=2nd number=plural tense=past mood=subjunctive
a b s a e h e	VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a b s a h s t	VERB person=2nd number=singular tense=past mood=indicative
a b s a h t	VERB person=2nd number=plural tense=past mood=indicative
a b s a h	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative
a b s c h e u l i c h k e i t e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b s c h e u l i c h k e i t	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b s e h e n d	VERB type=participle tense=present
a b s e h e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a b s e h e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a b s e h e t	VERB person=2nd number=plural tense=present mood=subjunctive
a b s e h e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a b s e h t	VERB person=2nd number=plural tense=present mood=indicative
a b s i e h s t	VERB person=2nd number=singular tense=present mood=indicative
a b s i e h t	VERB person=3rd number=singular tense=present mood=indicative
a b s o l v i e r e n d	VERB type=participle tense=present
a b s o l v i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a b s o l v i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a b s o l v i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a b s o l v i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a b s o l v i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a b s o l v i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a b s o l v i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a b s o l v i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a b s o l v i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a b s o l v i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a b s o r b i e r e n d	VERB type=participle tense=present
a b s o r b i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a b s o r b i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a b s o r b i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a b s o r b i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a b s o r b i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a b s o r b i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a b s o r b i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a b s o r b i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a b s o r b i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a b s o r b i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a b s t i m m u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b s t i m m u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b s t r a h i e r e n d	VERB type=participle tense=present
a b s t r a h i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a b s t r a h i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a b s t r a h i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a b s t r a h i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a b s t r a h i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a b s t r a h i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a b s t r a h i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a b s t r a h i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a b s t r a h i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a b s t r a h i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a b s z i s s e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b s z i s s e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b t e i l e n	NOUN case=dative number=plural
a b t e i l e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b t e i l e s	NOUN case=genitive number=singular
a b t e i l	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a e b t e n	NOUN case=dative number=plural
a e b t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a b t e s	NOUN case=genitive number=singular
a e b t i s s i n n e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a e b t i s s i n	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a b z o c k e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a b z o c k e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a c e t a t e n	NOUN case=dative number=plural
a c e t a t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a c e t a t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a c e t a t s	NOUN case=genitive number=singular
a c e t e s s i g s a e u r e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a c e t e s s i g s a e u r e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a c h s e l h o e h l e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a c h s e l h o e h l e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a c h s e l n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a c h s e l	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a c h t e n d	VERB type=participle tense=present
a c h t e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural ; VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a c h t e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
a c h t e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a c h t e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a c h t e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a c h t e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a c h t e t	VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
a c h t e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a c h t	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a c k e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a c k e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a c k e r e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a c k e r n d	VERB type=participle tense=present
a c k e r n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a c k e r s t	VERB person=2nd number=singular tense=present mood=indicative
